Frame_n,Frame_n+1,Matches,Inliers,Inlier_Ratio
0,1,364,341,0.9368131868131868
1,2,380,366,0.9631578947368421
2,3,371,354,0.954177897574124
3,4,393,368,0.9363867684478372
4,5,420,406,0.9666666666666667
5,6,396,359,0.9065656565656566
6,7,333,303,0.9099099099099099
7,8,334,321,0.9610778443113772
8,9,330,317,0.9606060606060606
9,10,320,302,0.94375
10,11,325,315,0.9692307692307692
11,12,326,316,0.9693251533742331
12,13,327,308,0.9418960244648318
13,14,330,308,0.9333333333333333
14,15,316,264,0.8354430379746836
15,16,302,276,0.9139072847682119
16,17,303,283,0.933993399339934
17,18,380,355,0.9342105263157895
18,19,402,385,0.9577114427860697
19,20,378,346,0.9153439153439153
20,21,389,381,0.9794344473007712
21,22,386,376,0.9740932642487047
22,23,415,396,0.9542168674698795
23,24,412,397,0.9635922330097088
24,25,388,350,0.9020618556701031
25,26,376,351,0.9335106382978723
26,27,380,359,0.9447368421052632
27,28,364,335,0.9203296703296703
28,29,332,295,0.8885542168674698
29,30,345,299,0.8666666666666667
30,31,321,301,0.9376947040498442
31,32,279,254,0.910394265232975
32,33,247,220,0.8906882591093117
33,34,260,236,0.9076923076923077
34,35,267,226,0.846441947565543
35,36,311,279,0.8971061093247589
36,37,332,312,0.9397590361445783
37,38,305,270,0.8852459016393442
38,39,311,282,0.9067524115755627
39,40,352,316,0.8977272727272727
40,41,312,278,0.8910256410256411
41,42,344,310,0.9011627906976745
42,43,349,283,0.8108882521489972
43,44,422,339,0.8033175355450237
44,45,440,407,0.925
45,46,421,325,0.7719714964370546
46,47,436,386,0.8853211009174312
47,48,460,423,0.9195652173913044
48,49,483,431,0.8923395445134575
49,50,493,412,0.8356997971602435
50,51,531,509,0.9585687382297552
51,52,533,503,0.9437148217636022
52,53,509,483,0.9489194499017681
53,54,474,436,0.919831223628692
54,55,466,437,0.9377682403433476
55,56,473,422,0.8921775898520085
56,57,462,424,0.9177489177489178
57,58,477,412,0.8637316561844863
58,59,537,488,0.9087523277467412
59,60,579,553,0.9550949913644214
60,61,541,529,0.977818853974122
61,62,547,534,0.9762340036563071
62,63,559,522,0.9338103756708408
63,64,546,536,0.9816849816849816
64,65,566,561,0.991166077738516
65,66,611,587,0.9607201309328969
66,67,649,634,0.9768875192604006
67,68,634,616,0.9716088328075709
68,69,666,648,0.972972972972973
69,70,674,636,0.9436201780415431
70,71,631,606,0.9603803486529319
71,72,623,603,0.9678972712680578
72,73,636,619,0.9732704402515723
73,74,534,515,0.9644194756554307
74,75,515,499,0.9689320388349515
75,76,526,498,0.9467680608365019
76,77,501,466,0.9301397205588823
77,78,501,474,0.9461077844311377
78,79,539,521,0.9666048237476809
79,80,596,582,0.9765100671140939
80,81,635,599,0.9433070866141732
81,82,584,548,0.9383561643835616
82,83,582,553,0.9501718213058419
83,84,540,507,0.9388888888888889
84,85,557,530,0.9515260323159784
85,86,602,574,0.9534883720930233
86,87,589,561,0.9524617996604414
87,88,656,604,0.9207317073170732
88,89,697,646,0.926829268292683
89,90,638,615,0.9639498432601881
90,91,640,611,0.9546875
91,92,660,624,0.9454545454545454
92,93,667,647,0.9700149925037481
93,94,676,656,0.9704142011834319
94,95,686,654,0.9533527696793003
95,96,678,665,0.9808259587020649
96,97,585,557,0.9521367521367521
97,98,591,562,0.9509306260575296
98,99,679,655,0.9646539027982327
99,100,721,697,0.9667128987517337
100,101,635,610,0.9606299212598425
101,102,566,549,0.9699646643109541
102,103,553,497,0.8987341772151899
103,104,566,543,0.9593639575971732
104,105,557,535,0.9605026929982047
105,106,546,535,0.9798534798534798
106,107,498,459,0.9216867469879518
107,108,500,447,0.894
108,109,521,489,0.9385796545105566
109,110,571,539,0.9439579684763573
110,111,573,556,0.9703315881326352
111,112,593,581,0.9797639123102867
112,113,607,593,0.9769357495881383
113,114,587,563,0.959114139693356
114,115,535,452,0.8448598130841122
115,116,524,437,0.833969465648855
116,117,685,664,0.9693430656934306
117,118,564,518,0.9184397163120568
118,119,493,390,0.7910750507099391
119,120,556,503,0.9046762589928058
120,121,555,492,0.8864864864864865
121,122,622,589,0.9469453376205788
122,123,699,684,0.9785407725321889
123,124,787,772,0.9809402795425667
124,125,660,623,0.943939393939394
125,126,684,622,0.9093567251461988
126,127,785,749,0.954140127388535
127,128,684,629,0.9195906432748538
128,129,659,628,0.952959028831563
129,130,764,747,0.9777486910994765
130,131,798,780,0.9774436090225563
131,132,765,743,0.9712418300653595
132,133,773,748,0.9676584734799483
133,134,663,630,0.9502262443438914
134,135,634,605,0.9542586750788643
135,136,670,643,0.9597014925373134
136,137,668,659,0.9865269461077845
137,138,640,603,0.9421875
138,139,679,649,0.9558173784977909
139,140,744,702,0.9435483870967742
140,141,702,690,0.9829059829059829
141,142,694,678,0.9769452449567724
142,143,693,680,0.9812409812409812
143,144,723,678,0.9377593360995851
144,145,695,680,0.9784172661870504
145,146,663,641,0.9668174962292609
146,147,671,650,0.9687034277198212
147,148,659,634,0.9620637329286799
148,149,653,636,0.9739663093415007
149,150,615,544,0.8845528455284553
150,151,644,593,0.9208074534161491
151,152,724,657,0.9074585635359116
152,153,609,523,0.8587848932676518
153,154,596,525,0.8808724832214765
154,155,658,613,0.9316109422492401
155,156,630,593,0.9412698412698413
156,157,618,578,0.9352750809061489
157,158,702,593,0.8447293447293447
158,159,816,786,0.9632352941176471
159,160,797,776,0.973651191969887
160,161,757,737,0.9735799207397622
161,162,692,661,0.9552023121387283
162,163,651,608,0.9339477726574501
163,164,558,408,0.7311827956989247
164,165,573,495,0.8638743455497382
165,166,616,566,0.9188311688311688
166,167,532,442,0.8308270676691729
167,168,518,474,0.915057915057915
168,169,556,513,0.9226618705035972
169,170,504,404,0.8015873015873016
170,171,539,469,0.8701298701298701
171,172,486,322,0.6625514403292181
172,173,585,541,0.9247863247863248
173,174,517,480,0.9284332688588007
174,175,509,418,0.8212180746561886
175,176,480,392,0.8166666666666667
176,177,493,393,0.7971602434077079
177,178,458,339,0.740174672489083
178,179,472,379,0.8029661016949152
179,180,429,308,0.717948717948718
180,181,423,379,0.8959810874704491
181,182,438,402,0.9178082191780822
182,183,475,454,0.9557894736842105
183,184,480,432,0.9
184,185,477,458,0.960167714884696
185,186,441,365,0.8276643990929705
186,187,402,308,0.7661691542288557
187,188,397,339,0.853904282115869
188,189,353,236,0.6685552407932012
189,190,340,257,0.7558823529411764
190,191,309,246,0.7961165048543689
191,192,305,211,0.6918032786885245
192,193,295,249,0.8440677966101695
193,194,321,275,0.8566978193146417
194,195,286,223,0.7797202797202797
195,196,279,221,0.7921146953405018
196,197,289,245,0.8477508650519031
197,198,267,128,0.4794007490636704
198,199,283,161,0.568904593639576
199,200,305,193,0.6327868852459017
