pair_index,frame1,frame2,num_keypoints1,num_keypoints2,num_matches,num_inliers,inlier_ratio
0,1305031452.791720.png,1305031452.823674.png,380,509,380,231,0.6078947368421053
1,1305031452.823674.png,1305031452.859642.png,509,579,509,343,0.6738703339882122
2,1305031452.859642.png,1305031452.891726.png,579,476,579,361,0.6234887737478411
3,1305031452.891726.png,1305031452.923715.png,476,602,476,324,0.680672268907563
4,1305031452.923715.png,1305031452.959701.png,602,603,602,423,0.7026578073089701
5,1305031452.959701.png,1305031452.991647.png,603,446,603,343,0.5688225538971807
6,1305031452.991647.png,1305031453.023650.png,446,490,446,287,0.6434977578475336
7,1305031453.023650.png,1305031453.059754.png,490,509,490,365,0.7448979591836735
8,1305031453.059754.png,1305031453.091704.png,509,473,509,365,0.7170923379174853
9,1305031453.091704.png,1305031453.123633.png,473,550,473,356,0.7526427061310782
10,1305031453.123633.png,1305031453.159673.png,550,524,550,424,0.7709090909090909
11,1305031453.159673.png,1305031453.191726.png,524,505,524,390,0.7442748091603053
12,1305031453.191726.png,1305031453.223689.png,505,611,505,365,0.7227722772277227
13,1305031453.223689.png,1305031453.259670.png,611,603,611,398,0.6513911620294599
14,1305031453.259670.png,1305031453.291696.png,603,457,603,305,0.5058043117744611
15,1305031453.291696.png,1305031453.323682.png,457,489,457,329,0.7199124726477024
16,1305031453.323682.png,1305031453.359684.png,489,633,489,302,0.6175869120654397
17,1305031453.359684.png,1305031453.391690.png,633,702,633,479,0.7567140600315956
18,1305031453.391690.png,1305031453.423683.png,702,638,702,518,0.7378917378917379
19,1305031453.423683.png,1305031453.459685.png,638,572,638,456,0.7147335423197492
20,1305031453.459685.png,1305031453.491698.png,572,522,572,412,0.7202797202797203
21,1305031453.491698.png,1305031453.523684.png,522,535,522,375,0.7183908045977011
22,1305031453.523684.png,1305031453.559753.png,535,532,535,387,0.7233644859813084
23,1305031453.559753.png,1305031453.591640.png,532,593,532,427,0.8026315789473685
24,1305031453.591640.png,1305031453.627706.png,593,535,593,375,0.6323777403035413
25,1305031453.627706.png,1305031453.659600.png,535,562,535,379,0.708411214953271
26,1305031453.659600.png,1305031453.691678.png,562,646,562,419,0.7455516014234875
27,1305031453.691678.png,1305031453.727652.png,646,641,646,479,0.7414860681114551
28,1305031453.727652.png,1305031453.759694.png,641,596,641,434,0.6770670826833073
29,1305031453.759694.png,1305031453.791716.png,596,590,596,423,0.709731543624161
30,1305031453.791716.png,1305031453.827773.png,590,553,590,399,0.676271186440678
31,1305031453.827773.png,1305031453.859705.png,553,392,553,300,0.5424954792043399
32,1305031453.859705.png,1305031453.891710.png,392,320,392,254,0.6479591836734694
33,1305031453.891710.png,1305031453.927723.png,320,327,320,264,0.825
34,1305031453.927723.png,1305031453.959641.png,327,363,327,239,0.7308868501529052
35,1305031453.959641.png,1305031453.991624.png,363,503,363,256,0.7052341597796143
36,1305031453.991624.png,1305031454.027662.png,503,472,503,373,0.7415506958250497
37,1305031454.027662.png,1305031454.059654.png,472,479,472,360,0.7627118644067796
38,1305031454.059654.png,1305031454.091651.png,479,506,479,332,0.6931106471816284
39,1305031454.091651.png,1305031454.127701.png,506,477,506,319,0.6304347826086957
40,1305031454.127701.png,1305031454.159672.png,477,446,477,272,0.570230607966457
41,1305031454.159672.png,1305031454.191658.png,446,487,446,297,0.6659192825112108
42,1305031454.191658.png,1305031454.227671.png,487,504,487,211,0.433264887063655
43,1305031454.227671.png,1305031454.259627.png,504,634,504,253,0.501984126984127
44,1305031454.259627.png,1305031454.291639.png,634,552,634,438,0.6908517350157729
45,1305031454.291639.png,1305031454.327699.png,552,552,552,234,0.42391304347826086
46,1305031454.327699.png,1305031454.359636.png,552,649,552,311,0.5634057971014492
47,1305031454.359636.png,1305031454.391677.png,649,659,649,443,0.6825885978428351
48,1305031454.391677.png,1305031454.427465.png,659,635,659,443,0.6722306525037937
49,1305031454.427465.png,1305031454.459913.png,635,696,635,405,0.6377952755905512
50,1305031454.459913.png,1305031454.491617.png,696,664,696,509,0.7313218390804598
51,1305031454.491617.png,1305031454.527700.png,664,569,664,440,0.6626506024096386
52,1305031454.527700.png,1305031454.559575.png,569,540,569,383,0.6731107205623902
53,1305031454.559575.png,1305031454.591635.png,540,537,540,331,0.6129629629629629
54,1305031454.591635.png,1305031454.627580.png,537,507,537,312,0.5810055865921788
55,1305031454.627580.png,1305031454.659528.png,507,454,507,315,0.621301775147929
56,1305031454.659528.png,1305031454.691884.png,454,464,454,287,0.6321585903083701
