pair_index,frame1,frame2,num_matches,num_inliers,inlier_ratio
0,1305031452.791720.png,1305031452.823674.png,2996,2058,0.6869158878504673
1,1305031452.823674.png,1305031452.859642.png,3079,2149,0.697953881130237
2,1305031452.859642.png,1305031452.891726.png,3076,2220,0.7217165149544863
3,1305031452.891726.png,1305031452.923715.png,2794,1730,0.6191839656406586
4,1305031452.923715.png,1305031452.959701.png,3184,2178,0.6840452261306532
5,1305031452.959701.png,1305031452.991647.png,3338,2563,0.767825044937088
6,1305031452.991647.png,1305031453.023650.png,3251,2444,0.7517686865579821
7,1305031453.023650.png,1305031453.059754.png,3464,2650,0.7650115473441108
8,1305031453.059754.png,1305031453.091704.png,3414,2645,0.7747510251903925
9,1305031453.091704.png,1305031453.123633.png,3467,2696,0.7776175367753101
10,1305031453.123633.png,1305031453.159673.png,3570,2960,0.8291316526610645
11,1305031453.159673.png,1305031453.191726.png,3597,2957,0.8220739505143175
12,1305031453.191726.png,1305031453.223689.png,3533,2725,0.7712991791678461
13,1305031453.223689.png,1305031453.259670.png,3124,2294,0.734314980793854
14,1305031453.259670.png,1305031453.291696.png,3306,2134,0.6454930429522081
15,1305031453.291696.png,1305031453.323682.png,3268,2485,0.7604039167686658
16,1305031453.323682.png,1305031453.359684.png,3350,2259,0.6743283582089552
17,1305031453.359684.png,1305031453.391690.png,3352,2471,0.7371718377088305
18,1305031453.391690.png,1305031453.423683.png,3441,2514,0.7306015693112468
19,1305031453.423683.png,1305031453.459685.png,3490,2787,0.7985673352435531
20,1305031453.459685.png,1305031453.491698.png,3391,2581,0.761132409318785
21,1305031453.491698.png,1305031453.523684.png,3445,2590,0.7518142235123367
22,1305031453.523684.png,1305031453.559753.png,3487,2716,0.7788930312589618
23,1305031453.559753.png,1305031453.591640.png,3570,2929,0.8204481792717087
24,1305031453.591640.png,1305031453.627706.png,3501,2713,0.774921451013996
25,1305031453.627706.png,1305031453.659600.png,3518,2611,0.7421830585559978
26,1305031453.659600.png,1305031453.691678.png,3452,2822,0.8174971031286211
27,1305031453.691678.png,1305031453.727652.png,3442,2810,0.8163858221963974
28,1305031453.727652.png,1305031453.759694.png,3190,2400,0.7523510971786834
29,1305031453.759694.png,1305031453.791716.png,3279,2395,0.7304056114669106
30,1305031453.791716.png,1305031453.827773.png,3283,2421,0.7374352726165093
31,1305031453.827773.png,1305031453.859705.png,3380,2444,0.7230769230769231
32,1305031453.859705.png,1305031453.891710.png,3324,2461,0.7403730445246691
33,1305031453.891710.png,1305031453.927723.png,2972,2153,0.7244279946164199
34,1305031453.927723.png,1305031453.959641.png,2873,1967,0.6846501914375217
35,1305031453.959641.png,1305031453.991624.png,3059,2056,0.6721150702844066
36,1305031453.991624.png,1305031454.027662.png,3046,2394,0.7859487852921865
37,1305031454.027662.png,1305031454.059654.png,3148,2110,0.670266836086404
38,1305031454.059654.png,1305031454.091651.png,3076,2119,0.6888816644993498
39,1305031454.091651.png,1305031454.127701.png,3130,2190,0.6996805111821086
40,1305031454.127701.png,1305031454.159672.png,2605,1727,0.6629558541266795
41,1305031454.159672.png,1305031454.191658.png,2791,1969,0.7054819061268363
42,1305031454.191658.png,1305031454.227671.png,2672,1565,0.5857035928143712
43,1305031454.227671.png,1305031454.259627.png,2910,1848,0.6350515463917525
44,1305031454.259627.png,1305031454.291639.png,3078,2176,0.7069525666016894
45,1305031454.291639.png,1305031454.327699.png,2889,1721,0.5957078573901003
46,1305031454.327699.png,1305031454.359636.png,2980,1986,0.6664429530201342
47,1305031454.359636.png,1305031454.391677.png,3185,2246,0.7051805337519623
48,1305031454.391677.png,1305031454.427465.png,3152,2208,0.700507614213198
49,1305031454.427465.png,1305031454.459913.png,3117,2281,0.7317933910811678
50,1305031454.459913.png,1305031454.491617.png,3466,2705,0.7804385458742066
51,1305031454.491617.png,1305031454.527700.png,3240,2413,0.7447530864197531
52,1305031454.527700.png,1305031454.559575.png,3238,2385,0.7365657813465102
53,1305031454.559575.png,1305031454.591635.png,3194,2288,0.7163431433938635
54,1305031454.591635.png,1305031454.627580.png,3170,2264,0.7141955835962145
55,1305031454.627580.png,1305031454.659528.png,2799,2004,0.7159699892818864
56,1305031454.659528.png,1305031454.691884.png,2915,2045,0.7015437392795884
57,1305031454.691884.png,1305031454.727659.png,3062,2304,0.752449379490529
58,1305031454.727659.png,1305031454.759732.png,3464,2449,0.706986143187067
59,1305031454.759732.png,1305031454.791641.png,3633,2893,0.7963115882191026
60,1305031454.791641.png,1305031454.827570.png,3518,2918,0.8294485503126776
61,1305031454.827570.png,1305031454.859620.png,3346,2514,0.7513448894202033
62,1305031454.859620.png,1305031454.891764.png,3355,2672,0.7964232488822652
63,1305031454.891764.png,1305031454.927567.png,3285,2670,0.8127853881278538
64,1305031454.927567.png,1305031454.959648.png,3528,2854,0.8089569160997733
65,1305031454.959648.png,1305031454.991937.png,3454,2837,0.8213665315576144
66,1305031454.991937.png,1305031455.027799.png,3413,2757,0.8077937298564313
67,1305031455.027799.png,1305031455.059636.png,3554,2803,0.7886888013505908
68,1305031455.059636.png,1305031455.091700.png,3847,3289,0.8549519105796725
69,1305031455.091700.png,1305031455.127695.png,3722,3111,0.8358409457281032
70,1305031455.127695.png,1305031455.159720.png,3522,3005,0.8532084043157298
71,1305031455.159720.png,1305031455.191655.png,3536,2922,0.8263574660633484
72,1305031455.191655.png,1305031455.227581.png,3557,2834,0.7967388248524037
73,1305031455.227581.png,1305031455.259631.png,3485,2851,0.818077474892396
74,1305031455.259631.png,1305031455.291831.png,3467,2657,0.7663686184020767
75,1305031455.291831.png,1305031455.327766.png,3561,2830,0.7947205841055883
76,1305031455.327766.png,1305031455.359630.png,3536,2586,0.7313348416289592
77,1305031455.359630.png,1305031455.391665.png,3585,2853,0.7958158995815899
78,1305031455.391665.png,1305031455.427642.png,3668,2951,0.804525627044711
79,1305031455.427642.png,1305031455.459589.png,3821,3022,0.7908924365349385
80,1305031455.459589.png,1305031455.491637.png,3835,3191,0.8320730117340287
81,1305031455.491637.png,1305031455.527610.png,3718,2803,0.7538999462076386
82,1305031455.527610.png,1305031455.559669.png,3759,3134,0.833732375631817
83,1305031455.559669.png,1305031455.591645.png,3729,3075,0.82461786001609
84,1305031455.591645.png,1305031455.627617.png,3725,2843,0.7632214765100671
85,1305031455.627617.png,1305031455.659615.png,3805,2895,0.7608409986859396
86,1305031455.659615.png,1305031455.691605.png,3695,2750,0.7442489851150202
87,1305031455.691605.png,1305031455.727628.png,3645,2752,0.7550068587105624
88,1305031455.727628.png,1305031455.759683.png,3984,3208,0.8052208835341366
89,1305031455.759683.png,1305031455.791666.png,3843,3039,0.7907884465261514
90,1305031455.791666.png,1305031455.827590.png,3640,2747,0.7546703296703297
91,1305031455.827590.png,1305031455.859526.png,3788,2989,0.7890707497360084
92,1305031455.859526.png,1305031455.891657.png,3946,3358,0.8509883426254435
93,1305031455.891657.png,1305031455.927955.png,4111,3344,0.8134273899294575
94,1305031455.927955.png,1305031455.959716.png,4012,3405,0.848703888334995
95,1305031455.959716.png,1305031455.991694.png,4026,3428,0.851465474416294
96,1305031455.991694.png,1305031456.027770.png,3750,2790,0.744
97,1305031456.027770.png,1305031456.059713.png,3876,3099,0.7995356037151703
98,1305031456.059713.png,1305031456.091707.png,4013,3251,0.8101171193620733
99,1305031456.091707.png,1305031456.127645.png,4163,3658,0.8786932500600528
100,1305031456.127645.png,1305031456.159731.png,3745,2924,0.7807743658210948
101,1305031456.159731.png,1305031456.191658.png,3950,3277,0.829620253164557
102,1305031456.191658.png,1305031456.227678.png,3519,2725,0.7743677181017334
103,1305031456.227678.png,1305031456.259614.png,3887,3137,0.8070491381528171
104,1305031456.259614.png,1305031456.291675.png,3591,2785,0.7755499860763019
105,1305031456.291675.png,1305031456.327718.png,3662,2870,0.7837247405789186
106,1305031456.327718.png,1305031456.359846.png,3558,2604,0.7318718381112985
