pair_index,frame1,frame2,num_matches,num_inliers,inlier_ratio
0,1305031452.791720.png,1305031452.823674.png,10000,9045,0.9045
1,1305031452.823674.png,1305031452.859642.png,10000,9231,0.9231
2,1305031452.859642.png,1305031452.891726.png,10000,8404,0.8404
3,1305031452.891726.png,1305031452.923715.png,10000,9136,0.9136
4,1305031452.923715.png,1305031452.959701.png,10000,9569,0.9569
5,1305031452.959701.png,1305031452.991647.png,10000,9640,0.964
6,1305031452.991647.png,1305031453.023650.png,10000,9322,0.9322
7,1305031453.023650.png,1305031453.059754.png,10000,9429,0.9429
8,1305031453.059754.png,1305031453.091704.png,10000,9736,0.9736
9,1305031453.091704.png,1305031453.123633.png,10000,8928,0.8928
10,1305031453.123633.png,1305031453.159673.png,10000,8762,0.8762
11,1305031453.159673.png,1305031453.191726.png,10000,9704,0.9704
12,1305031453.191726.png,1305031453.223689.png,10000,9224,0.9224
13,1305031453.223689.png,1305031453.259670.png,10000,9001,0.9001
14,1305031453.259670.png,1305031453.291696.png,10000,8957,0.8957
15,1305031453.291696.png,1305031453.323682.png,10000,9141,0.9141
16,1305031453.323682.png,1305031453.359684.png,10000,8960,0.896
17,1305031453.359684.png,1305031453.391690.png,10000,9677,0.9677
18,1305031453.391690.png,1305031453.423683.png,10000,9771,0.9771
19,1305031453.423683.png,1305031453.459685.png,10000,9359,0.9359
20,1305031453.459685.png,1305031453.491698.png,10000,9866,0.9866
21,1305031453.491698.png,1305031453.523684.png,10000,9935,0.9935
22,1305031453.523684.png,1305031453.559753.png,10000,9568,0.9568
23,1305031453.559753.png,1305031453.591640.png,10000,9721,0.9721
24,1305031453.591640.png,1305031453.627706.png,10000,9213,0.9213
25,1305031453.627706.png,1305031453.659600.png,10000,9014,0.9014
26,1305031453.659600.png,1305031453.691678.png,10000,9158,0.9158
27,1305031453.691678.png,1305031453.727652.png,10000,9838,0.9838
28,1305031453.727652.png,1305031453.759694.png,10000,8915,0.8915
29,1305031453.759694.png,1305031453.791716.png,10000,8825,0.8825
30,1305031453.791716.png,1305031453.827773.png,10000,9659,0.9659
31,1305031453.827773.png,1305031453.859705.png,10000,9043,0.9043
32,1305031453.859705.png,1305031453.891710.png,10000,9376,0.9376
33,1305031453.891710.png,1305031453.927723.png,10000,9419,0.9419
34,1305031453.927723.png,1305031453.959641.png,10000,9741,0.9741
35,1305031453.959641.png,1305031453.991624.png,10000,9365,0.9365
36,1305031453.991624.png,1305031454.027662.png,10000,9242,0.9242
37,1305031454.027662.png,1305031454.059654.png,10000,8542,0.8542
38,1305031454.059654.png,1305031454.091651.png,10000,9387,0.9387
39,1305031454.091651.png,1305031454.127701.png,10000,8843,0.8843
40,1305031454.127701.png,1305031454.159672.png,10000,9098,0.9098
41,1305031454.159672.png,1305031454.191658.png,10000,8919,0.8919
42,1305031454.191658.png,1305031454.227671.png,10000,8202,0.8202
43,1305031454.227671.png,1305031454.259627.png,10000,8040,0.804
44,1305031454.259627.png,1305031454.291639.png,10000,8405,0.8405
45,1305031454.291639.png,1305031454.327699.png,10000,7941,0.7941
46,1305031454.327699.png,1305031454.359636.png,10000,8959,0.8959
47,1305031454.359636.png,1305031454.391677.png,10000,9318,0.9318
48,1305031454.391677.png,1305031454.427465.png,10000,9890,0.989
49,1305031454.427465.png,1305031454.459913.png,10000,9387,0.9387
50,1305031454.459913.png,1305031454.491617.png,10000,9887,0.9887
51,1305031454.491617.png,1305031454.527700.png,10000,9548,0.9548
52,1305031454.527700.png,1305031454.559575.png,10000,9243,0.9243
53,1305031454.559575.png,1305031454.591635.png,10000,8724,0.8724
54,1305031454.591635.png,1305031454.627580.png,10000,9172,0.9172
55,1305031454.627580.png,1305031454.659528.png,10000,9146,0.9146
56,1305031454.659528.png,1305031454.691884.png,10000,8853,0.8853
57,1305031454.691884.png,1305031454.727659.png,10000,8238,0.8238
58,1305031454.727659.png,1305031454.759732.png,10000,8918,0.8918
59,1305031454.759732.png,1305031454.791641.png,10000,9404,0.9404
60,1305031454.791641.png,1305031454.827570.png,10000,9701,0.9701
61,1305031454.827570.png,1305031454.859620.png,10000,9353,0.9353
62,1305031454.859620.png,1305031454.891764.png,10000,9734,0.9734
63,1305031454.891764.png,1305031454.927567.png,10000,9420,0.942
64,1305031454.927567.png,1305031454.959648.png,10000,9489,0.9489
65,1305031454.959648.png,1305031454.991937.png,10000,9169,0.9169
66,1305031454.991937.png,1305031455.027799.png,10000,9572,0.9572
67,1305031455.027799.png,1305031455.059636.png,10000,8780,0.878
68,1305031455.059636.png,1305031455.091700.png,10000,9732,0.9732
69,1305031455.091700.png,1305031455.127695.png,10000,9544,0.9544
70,1305031455.127695.png,1305031455.159720.png,10000,9571,0.9571
71,1305031455.159720.png,1305031455.191655.png,10000,9231,0.9231
72,1305031455.191655.png,1305031455.227581.png,10000,9650,0.965
73,1305031455.227581.png,1305031455.259631.png,10000,8853,0.8853
74,1305031455.259631.png,1305031455.291831.png,10000,9744,0.9744
75,1305031455.291831.png,1305031455.327766.png,10000,9674,0.9674
76,1305031455.327766.png,1305031455.359630.png,10000,8596,0.8596
77,1305031455.359630.png,1305031455.391665.png,10000,9443,0.9443
78,1305031455.391665.png,1305031455.427642.png,10000,9763,0.9763
79,1305031455.427642.png,1305031455.459589.png,10000,9193,0.9193
80,1305031455.459589.png,1305031455.491637.png,10000,9621,0.9621
81,1305031455.491637.png,1305031455.527610.png,10000,9773,0.9773
82,1305031455.527610.png,1305031455.559669.png,10000,8963,0.8963
83,1305031455.559669.png,1305031455.591645.png,10000,9183,0.9183
84,1305031455.591645.png,1305031455.627617.png,10000,9771,0.9771
