Frame_n,Frame_n+1,Matches,Inliers,Inlier_Ratio
0,1,228,196,0.8596491228070176
1,2,224,199,0.8883928571428571
2,3,288,243,0.84375
3,4,337,298,0.884272997032641
4,5,536,457,0.8526119402985075
5,6,281,224,0.797153024911032
6,7,201,176,0.8756218905472637
7,8,282,251,0.8900709219858156
8,9,241,200,0.8298755186721992
9,10,187,171,0.9144385026737968
10,11,265,239,0.9018867924528302
11,12,267,237,0.8876404494382022
12,13,250,218,0.872
13,14,219,199,0.908675799086758
14,15,130,109,0.8384615384615385
15,16,204,188,0.9215686274509803
16,17,161,139,0.8633540372670807
17,18,300,262,0.8733333333333333
18,19,343,293,0.8542274052478134
19,20,365,329,0.9013698630136986
20,21,335,313,0.9343283582089552
21,22,302,281,0.9304635761589404
22,23,396,365,0.9217171717171717
23,24,430,394,0.9162790697674419
24,25,291,268,0.9209621993127147
25,26,317,278,0.8769716088328076
26,27,305,283,0.9278688524590164
27,28,306,261,0.8529411764705882
28,29,205,166,0.8097560975609757
29,30,196,176,0.8979591836734694
30,31,224,196,0.875
31,32,139,110,0.7913669064748201
32,33,127,109,0.8582677165354331
33,34,126,116,0.9206349206349206
34,35,113,97,0.8584070796460177
35,36,129,110,0.8527131782945736
36,37,170,149,0.8764705882352941
37,38,150,137,0.9133333333333333
38,39,139,126,0.9064748201438849
39,40,153,135,0.8823529411764706
40,41,141,114,0.8085106382978723
41,42,188,169,0.898936170212766
42,43,117,99,0.8461538461538461
43,44,150,130,0.8666666666666667
44,45,349,305,0.8739255014326648
45,46,147,123,0.8367346938775511
46,47,221,198,0.8959276018099548
47,48,308,274,0.8896103896103896
48,49,300,277,0.9233333333333333
49,50,191,174,0.9109947643979057
50,51,541,503,0.9297597042513863
51,52,386,359,0.9300518134715026
52,53,385,353,0.9168831168831169
53,54,291,269,0.9243986254295533
54,55,288,270,0.9375
55,56,309,295,0.9546925566343042
56,57,267,248,0.9288389513108615
57,58,252,237,0.9404761904761905
58,59,289,280,0.9688581314878892
59,60,809,786,0.9715698393077874
60,61,583,565,0.9691252144082333
61,62,678,644,0.9498525073746312
62,63,860,826,0.9604651162790697
63,64,825,794,0.9624242424242424
64,65,730,710,0.9726027397260274
65,66,672,660,0.9821428571428571
66,67,902,860,0.9534368070953437
67,68,860,816,0.9488372093023256
68,69,1092,1049,0.9606227106227107
69,70,1002,948,0.9461077844311377
70,71,903,855,0.946843853820598
71,72,937,897,0.9573105656350054
72,73,1027,985,0.9591041869522883
73,74,579,535,0.924006908462867
74,75,609,591,0.9704433497536946
75,76,599,567,0.9465776293823038
76,77,354,324,0.9152542372881356
77,78,395,381,0.9645569620253165
78,79,560,546,0.975
79,80,688,670,0.9738372093023255
80,81,818,777,0.9498777506112469
