Frame_n,Frame_n+1,Matches,Inliers,Inlier_Ratio
0,1,619,565,0.9127625201938611
1,2,654,621,0.9495412844036697
2,3,648,607,0.9367283950617284
3,4,655,610,0.9312977099236641
4,5,781,731,0.9359795134443022
5,6,639,595,0.9311424100156495
6,7,501,485,0.9680638722554891
7,8,872,848,0.9724770642201835
8,9,707,688,0.9731258840169731
9,10,735,715,0.9727891156462585
10,11,846,825,0.975177304964539
11,12,803,778,0.9688667496886675
12,13,801,779,0.9725343320848939
13,14,716,699,0.9762569832402235
14,15,438,421,0.9611872146118722
15,16,705,686,0.9730496453900709
16,17,474,456,0.9620253164556962
17,18,676,655,0.9689349112426036
18,19,817,793,0.9706242350061199
19,20,791,770,0.9734513274336283
20,21,806,789,0.9789081885856079
21,22,842,820,0.9738717339667459
22,23,900,885,0.9833333333333333
23,24,946,933,0.9862579281183932
24,25,779,767,0.9845956354300385
25,26,854,838,0.9812646370023419
26,27,844,834,0.9881516587677726
27,28,850,826,0.971764705882353
28,29,683,664,0.972181551976574
29,30,693,673,0.9711399711399712
30,31,786,770,0.9796437659033079
31,32,533,514,0.9643527204502814
32,33,637,616,0.967032967032967
33,34,703,680,0.9672830725462305
34,35,613,568,0.9265905383360522
35,36,622,600,0.9646302250803859
36,37,741,712,0.9608636977058029
37,38,710,693,0.976056338028169
38,39,622,600,0.9646302250803859
39,40,650,626,0.963076923076923
40,41,522,492,0.9425287356321839
41,42,663,636,0.9592760180995475
42,43,503,468,0.9304174950298211
43,44,545,516,0.9467889908256881
44,45,766,734,0.95822454308094
45,46,546,521,0.9542124542124543
46,47,761,755,0.9921156373193167
47,48,778,768,0.987146529562982
48,49,776,762,0.9819587628865979
49,50,601,572,0.9517470881863561
50,51,900,884,0.9822222222222222
51,52,907,890,0.9812568908489526
52,53,820,811,0.9890243902439024
53,54,733,717,0.9781718963165075
54,55,862,854,0.9907192575406032
55,56,806,797,0.988833746898263
56,57,746,730,0.9785522788203753
57,58,678,669,0.9867256637168141
58,59,748,738,0.9866310160427807
